dataset,symbol,status,range_start,range_end,error,fingerprint,category,adapter_version,raw_status,first_failure,last_failure,attempts,next_action
valuation_daily,300297.SZ,FAILED,UNKNOWN,UNKNOWN,300297.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:53:08.851704+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300309.SZ,FAILED,UNKNOWN,UNKNOWN,300309.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:53:14.986470+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300312.SZ,FAILED,UNKNOWN,UNKNOWN,300312.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:53:21.305357+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300325.SZ,FAILED,UNKNOWN,UNKNOWN,300325.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:53:27.491507+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300330.SZ,FAILED,UNKNOWN,UNKNOWN,300330.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:53:33.726489+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300336.SZ,FAILED,UNKNOWN,UNKNOWN,300336.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:53:39.954885+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300356.SZ,FAILED,UNKNOWN,UNKNOWN,300356.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:53:46.518761+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300362.SZ,FAILED,UNKNOWN,UNKNOWN,300362.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:53:52.570555+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300367.SZ,FAILED,UNKNOWN,UNKNOWN,300367.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:53:58.691472+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300372.SZ,FAILED,UNKNOWN,UNKNOWN,300372.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:54:05.026670+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300379.SZ,FAILED,UNKNOWN,UNKNOWN,300379.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:54:11.341744+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300392.SZ,FAILED,UNKNOWN,UNKNOWN,300392.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:54:17.617323+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300431.SZ,FAILED,UNKNOWN,UNKNOWN,300431.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:54:23.860044+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300495.SZ,FAILED,UNKNOWN,UNKNOWN,300495.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:54:30.173500+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300526.SZ,FAILED,UNKNOWN,UNKNOWN,300526.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:54:36.279406+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300630.SZ,FAILED,UNKNOWN,UNKNOWN,300630.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:54:42.638359+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300742.SZ,FAILED,UNKNOWN,UNKNOWN,300742.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:54:48.861328+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,300799.SZ,FAILED,UNKNOWN,UNKNOWN,300799.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:54:55.067641+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,600001.SH,FAILED,UNKNOWN,UNKNOWN,600001.SH akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:55:01.291952+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,600002.SH,FAILED,UNKNOWN,UNKNOWN,600002.SH akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:55:07.625592+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,600003.SH,FAILED,UNKNOWN,UNKNOWN,600003.SH akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:55:13.748918+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,600065.SH,FAILED,UNKNOWN,UNKNOWN,600065.SH akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:55:20.084968+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
